Var1,Var2,Var3
"BG-1014.txt.mat",644,12282
"BG-1015.txt.mat",644,12282
"BG-1016.txt.mat",644,12282
"BG-1017.txt.mat",644,12282
"BG-1018.txt.mat",644,12282
"BG-1019.txt.mat",644,12282
"BG-1020.txt.mat",644,12282
"BG-1021.txt.mat",644,12282
"BG-1022.txt.mat",644,12282
"BG-1023.txt.mat",644,12282
"BG-1024.txt.mat",644,12282
"BG-1025.txt.mat",644,12282
"BG-1026.txt.mat",644,12282
"BG-1027.txt.mat",644,12282
"BG-1028.txt.mat",644,12282
"BG-1029.txt.mat",644,12282
"BG-1030.txt.mat",644,12282
"BG-1031.txt.mat",644,12282
"BG-1032.txt.mat",644,12282
"BG-FA-0953.txt.mat",644,12282
"BG-STK33-03.txt.mat",644,12282
"BG-STK33-55.txt.mat",644,12282
"BG-STK33-59.txt.mat",644,12282
"BH3I-1.txt.mat",644,12282
"BI-2536.txt.mat",644,12282
"BI-78D3.txt.mat",644,12282
"BIBR-1532.txt.mat",644,12282
"BIBU-1361.txt.mat",644,12282
"BIBX-1382.txt.mat",644,12282
"BIIB-021.txt.mat",644,12282
"BIX-01294.txt.mat",644,12282
"BIX-01338.txt.mat",644,12282
"BIX-02188.txt.mat",644,12282
"BIX-02189.txt.mat",644,12282
"BJM-AF-64.txt.mat",644,12282
"BJM-CSC-15.txt.mat",644,12282
"BJM-HSC2-10.txt.mat",644,12282
"BL-050.txt.mat",644,12282
"BL-074.txt.mat",644,12282
"BL-077.txt.mat",644,12282
"BL003-049-HDAC3.txt.mat",644,12282
"BML-190.txt.mat",644,12282
"BML-210.txt.mat",644,12282
"BML-257.txt.mat",644,12282
"BML-259.txt.mat",644,12282
"BML-266.txt.mat",644,12282
"BML-278.txt.mat",644,12282
"BML-284.txt.mat",644,12282
"BML-286.txt.mat",644,12282
"BMS-182874.txt.mat",644,12282
"BMS-191011.txt.mat",644,12282
"BMS-299897.txt.mat",644,12282
"BMS-345541.txt.mat",644,12282
"BMS-387032.txt.mat",644,12282
"BMS-509744.txt.mat",644,12282
"BMS-536924.txt.mat",644,12282
"BMS-641988.txt.mat",644,12282
"BMS-754807.txt.mat",644,12282
"BMS-777607.txt.mat",644,12282
"BMY-14802.txt.mat",644,12282
"BMY-45778.txt.mat",644,12282
"BMY-7378.txt.mat",644,12282
"BNTX.txt.mat",644,12282
"BO2-inhibits-RAD51.txt.mat",644,12282
"BOX-5.txt.mat",644,12282
"BP-554.txt.mat",644,12282
"BP-897.txt.mat",644,12282
"BRD-A00474148.txt.mat",644,12282
"BRD-A00626522.txt.mat",644,12282
"BRD-A00763758.txt.mat",644,12282
"BRD-A01960364.txt.mat",644,12282
"BRD-A01973626.txt.mat",644,12282
"BRD-A01999384.txt.mat",644,12282
"BRD-A02241946.txt.mat",644,12282
"BRD-A02726762.txt.mat",644,12282
"BRD-A02747686.txt.mat",644,12282
"BRD-A02836799.txt.mat",644,12282
"BRD-A03436432.txt.mat",644,12282
"BRD-A03684405.txt.mat",644,12282
"BRD-A03772856.txt.mat",644,12282
"BRD-A03946276.txt.mat",644,12282
"BRD-A04172077.txt.mat",644,12282
"BRD-A04332542.txt.mat",644,12282
"BRD-A04392722.txt.mat",644,12282
"BRD-A05565054.txt.mat",644,12282
"BRD-A05680309.txt.mat",644,12282
"BRD-A05729358.txt.mat",644,12282
"BRD-A05831822.txt.mat",644,12282
"BRD-A06131576.txt.mat",644,12282
"BRD-A06276885.txt.mat",644,12282
"BRD-A06641369.txt.mat",644,12282
"BRD-A06664848.txt.mat",644,12282
"BRD-A06779035.txt.mat",644,12282
"BRD-A06909528.txt.mat",644,12282
"BRD-A07614565.txt.mat",644,12282
"BRD-A08610364.txt.mat",644,12282
"BRD-A08658758.txt.mat",644,12282
"BRD-A08662020.txt.mat",644,12282
"BRD-A08778300.txt.mat",644,12282
"BRD-A09053961.txt.mat",644,12282
"BRD-A09164687.txt.mat",644,12282
"BRD-A09719808.txt.mat",644,12282
"BRD-A09984573.txt.mat",644,12282
"BRD-A10330754.txt.mat",644,12282
"BRD-A11009626.txt.mat",644,12282
"BRD-A11087911.txt.mat",644,12282
"BRD-A11095214.txt.mat",644,12282
"BRD-A11512624.txt.mat",644,12282
"BRD-A11731846.txt.mat",644,12282
"BRD-A11929187.txt.mat",644,12282
"BRD-A11968133.txt.mat",644,12282
"BRD-A12083771.txt.mat",644,12282
"BRD-A12426960.txt.mat",644,12282
"BRD-A12633378.txt.mat",644,12282
"BRD-A12643502.txt.mat",644,12282
"BRD-A13020530.txt.mat",644,12282
"BRD-A13346522.txt.mat",644,12282
"BRD-A13367427.txt.mat",644,12282
"BRD-A13461302.txt.mat",644,12282
"BRD-A13914662.txt.mat",644,12282
"BRD-A13964793.txt.mat",644,12282
"BRD-A14014306.txt.mat",644,12282
"BRD-A14178283.txt.mat",644,12282
"BRD-A14795281.txt.mat",644,12282
"BRD-A15113563.txt.mat",644,12282
"BRD-A15501135.txt.mat",644,12282
"BRD-A16581344.txt.mat",644,12282
"BRD-A16820783.txt.mat",644,12282
"BRD-A17081056.txt.mat",644,12282
"BRD-A17664363.txt.mat",644,12282
"BRD-A17718497.txt.mat",644,12282
"BRD-A17757596.txt.mat",644,12282
"BRD-A18279961.txt.mat",644,12282
"BRD-A18411371.txt.mat",644,12282
"BRD-A18477699.txt.mat",644,12282
"BRD-A18573497.txt.mat",644,12282
"BRD-A18725729.txt.mat",644,12282
"BRD-A19928752.txt.mat",644,12282
"BRD-A20488704.txt.mat",644,12282
"BRD-A21406558.txt.mat",644,12282
"BRD-A21481508.txt.mat",644,12282
"BRD-A21812217.txt.mat",644,12282
"BRD-A22272113.txt.mat",644,12282
"BRD-A22514244.txt.mat",644,12282
"BRD-A24021119.txt.mat",644,12282
"BRD-A24054354.txt.mat",644,12282
"BRD-A24225650.txt.mat",644,12282
"BRD-A24951056.txt.mat",644,12282
"BRD-A25170757.txt.mat",644,12282
"BRD-A25416824.txt.mat",644,12282
"BRD-A25829966.txt.mat",644,12282
"BRD-A26333730.txt.mat",644,12282
"BRD-A26347577.txt.mat",644,12282
